Request_ID,Request_Time,Status,Passengers,Pickup_Lat,Pickup_Lon,Dropoff_Lat,Dropoff_Lon,Exp_Pickup_Time,Exp_Dropoff_Time,Act_Pickup_Time,Act_Dropoff_Time
R214988,2025-10-01 20:23:00,COMPLETED,2,40.80743829,-73.95985231,40.80111318,-73.95378817,2025-10-01 20:23:45,2025-10-01 20:29:57,2025-10-01 20:23:45,2025-10-01 20:29:57
R214986,2025-10-01 20:23:00,COMPLETED,1,40.8179205,-73.9580912,40.80527878,-73.96302795,2025-10-01 20:24:06,2025-10-01 20:28:50,2025-10-01 20:24:06,2025-10-01 20:29:11
R214992,2025-10-01 20:24:00,COMPLETED,2,40.80757228,-73.96042395,40.80115836,-73.95380896,2025-10-01 20:24:45,2025-10-01 20:29:18,2025-10-01 20:24:45,2025-10-01 20:29:17
R214990,2025-10-01 20:23:00,COMPLETED,1,40.8184897,-73.9539149,40.8045845,-73.9667555,2025-10-01 20:25:17,2025-10-01 20:29:25,2025-10-01 20:25:17,2025-10-01 20:29:25
R214985,2025-10-01 20:22:00,COMPLETED,1,40.8138171,-73.96184016,40.7982688,-73.9643749,2025-10-01 20:24:48,2025-10-01 20:29:45,2025-10-01 20:25:47,2025-10-01 20:30:57
R214996,2025-10-01 20:25:00,COMPLETED,1,40.81522133,-73.95887766,40.80533548,-73.96406036,2025-10-01 20:26:18,2025-10-01 20:30:19,2025-10-01 20:26:18,2025-10-01 20:30:27
R214979,2025-10-01 20:20:00,COMPLETED,1,40.8214672,-73.9542428,40.8022664,-73.9646541,2025-10-01 20:23:04,2025-10-01 20:28:52,2025-10-01 20:24:44,2025-10-01 20:30:31
R215001,2025-10-01 20:26:00,COMPLETED,2,40.80609606,-73.95436786,40.80283036,-73.9651024,2025-10-01 20:27:49,2025-10-01 20:31:23,2025-10-01 20:27:49,2025-10-01 20:31:23
R215002,2025-10-01 20:27:00,COMPLETED,1,40.8075355,-73.9625727,40.80611,-73.95424,2025-10-01 20:27:54,2025-10-01 20:31:37,2025-10-01 20:27:58,2025-10-01 20:31:41
R215008,2025-10-01 20:29:00,COMPLETED,1,40.80902131,-73.96380253,40.80508424,-73.96270182,2025-10-01 20:29:45,2025-10-01 20:31:01,2025-10-01 20:29:45,2025-10-01 20:31:00
R215004,2025-10-01 20:28:00,COMPLETED,2,40.80869395,-73.94837949,40.8102007,-73.9578013,2025-10-01 20:30:32,2025-10-01 20:32:32,2025-10-01 20:30:35,2025-10-01 20:32:39
R215009,2025-10-01 20:29:00,COMPLETED,1,40.8107815,-73.9530431,40.80965547,-73.95819672,2025-10-01 20:29:48,2025-10-01 20:32:44,2025-10-01 20:29:48,2025-10-01 20:32:48
R215003,2025-10-01 20:27:00,COMPLETED,1,40.80814098,-73.96409389,40.80327677,-73.9578021,2025-10-01 20:27:56,2025-10-01 20:32:51,2025-10-01 20:27:56,2025-10-01 20:32:51
R214993,2025-10-01 20:24:00,COMPLETED,1,40.81808579,-73.95935543,40.7994561,-73.9597269,2025-10-01 20:26:45,2025-10-01 20:31:18,2025-10-01 20:27:06,2025-10-01 20:32:43
